competition_level,simulation_id,policy,efficiency_score,overall_match_rate,total_rounds,policy_matches,policy_unmatches,policy_total_agents,policy_match_rate,avg_quality,avg_rounds_matched,avg_rounds_all
Competition 0.5,0,Greedy,0.9054710123827345,1.0,40,5,0,5,1.0,7.099087686721232,1.0,1.0
Competition 0.5,0,Threshold_6,0.9054710123827345,1.0,40,5,0,5,1.0,7.820560255604015,4.8,4.8
Competition 0.5,0,Threshold_8,0.9054710123827345,1.0,40,5,0,5,1.0,8.025381876871894,11.2,11.2
Competition 0.5,0,Optimal_Stopping,0.9054710123827345,1.0,40,5,0,5,1.0,5.160262821774713,26.6,26.6
Competition 0.5,1,Greedy,0.9196202401621295,1.0,40,5,0,5,1.0,5.317981489417518,1.0,1.0
Competition 0.5,1,Threshold_6,0.9196202401621295,1.0,40,5,0,5,1.0,8.204572324821678,1.2,1.2
Competition 0.5,1,Threshold_8,0.9196202401621295,1.0,40,5,0,5,1.0,8.654607509193493,7.0,7.0
Competition 0.5,1,Optimal_Stopping,0.9196202401621295,1.0,40,5,0,5,1.0,7.248425434514509,21.0,21.0
Competition 0.5,2,Greedy,0.8719093088182512,1.0,40,5,0,5,1.0,4.1778728935005836,1.0,1.0
Competition 0.5,2,Threshold_6,0.8719093088182512,1.0,40,5,0,5,1.0,8.578365444332588,3.0,3.0
Competition 0.5,2,Threshold_8,0.8719093088182512,1.0,40,5,0,5,1.0,9.137992703466779,3.0,3.0
Competition 0.5,2,Optimal_Stopping,0.8719093088182512,1.0,40,5,0,5,1.0,6.032654080812295,19.4,19.4
Competition 0.5,3,Greedy,0.9322538017356188,1.0,40,5,0,5,1.0,6.710858864858503,1.0,1.0
Competition 0.5,3,Threshold_6,0.9322538017356188,1.0,40,5,0,5,1.0,7.568198091497986,6.2,6.2
Competition 0.5,3,Threshold_8,0.9322538017356188,1.0,40,5,0,5,1.0,5.867051394334128,26.2,26.2
Competition 0.5,3,Optimal_Stopping,0.9322538017356188,1.0,40,5,0,5,1.0,5.7753923991941525,16.6,16.6
Competition 0.5,4,Greedy,0.8930916157352458,1.0,40,5,0,5,1.0,6.422238607806202,1.0,1.0
Competition 0.5,4,Threshold_6,0.8930916157352458,1.0,40,5,0,5,1.0,8.33396456164313,3.4,3.4
Competition 0.5,4,Threshold_8,0.8930916157352458,1.0,40,5,0,5,1.0,6.209301666538588,23.4,23.4
Competition 0.5,4,Optimal_Stopping,0.8930916157352458,1.0,40,5,0,5,1.0,5.7227890758150455,20.4,20.4
Competition 0.5,5,Greedy,0.899490550920215,1.0,24,5,0,5,1.0,3.871112511292342,1.0,1.0
Competition 0.5,5,Threshold_6,0.899490550920215,1.0,24,5,0,5,1.0,8.280081054023087,1.8,1.8
Competition 0.5,5,Threshold_8,0.899490550920215,1.0,24,5,0,5,1.0,8.773644672405876,8.0,8.0
Competition 0.5,5,Optimal_Stopping,0.899490550920215,1.0,24,5,0,5,1.0,7.121584490247068,9.2,9.2
Competition 0.5,6,Greedy,0.9439079052093248,1.0,40,5,0,5,1.0,5.180526292656628,1.0,1.0
Competition 0.5,6,Threshold_6,0.9439079052093248,1.0,40,5,0,5,1.0,8.18356486860332,2.4,2.4
Competition 0.5,6,Threshold_8,0.9439079052093248,1.0,40,5,0,5,1.0,8.85179733173866,11.2,11.2
Competition 0.5,6,Optimal_Stopping,0.9439079052093248,1.0,40,5,0,5,1.0,6.9841670041518515,12.6,12.6
